
> lint@1.2.0 lint:spell
> cspell -c ${LINTER_PATH}.cspell.json './src/**/*.{js,ts}'

/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:59:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:59:44 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:59:53 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:64:60 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:64:72 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:64:90 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:65:58 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:65:70 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:103:13 - Unknown word (Copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:104:11 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:115:5 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:346:21 - Unknown word (NONAGREEDDISCLAIMER)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:393:35 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:564:50 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:689:18 - Unknown word (Copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:690:14 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:692:14 - Unknown word (Copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:693:12 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:694:9 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:703:12 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:704:12 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:705:16 - Unknown word (Copayer)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:773:27 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/app/app.component.ts:775:63 - Unknown word (bitcoincash)
/mnt/disk273/doc/coding/linters-article/src/components/footer-menu/footer-menu.ts:34:39 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/components/footer-menu/footer-menu.ts:50:39 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/components/footer-menu/footer-menu.ts:101:29 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/components/gift-card-discount-text/gift-card-discount-text.ts:11:37 - Unknown word (flatrate)
/mnt/disk273/doc/coding/linters-article/src/components/gift-card-discount-text/gift-card-discount-text.ts:23:31 - Unknown word (flatrate)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:21:19 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:22:17 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:24:14 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:31:10 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:60:10 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:67:31 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:108:12 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:112:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/copayers/copayers.ts:114:9 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-eth-multisig/create-eth-multisig.ts:28:29 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-eth-multisig/create-eth-multisig.ts:130:32 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-eth-multisig/create-eth-multisig.ts:162:14 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.spec.ts:22:24 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.spec.ts:27:24 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.spec.ts:58:42 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.spec.ts:59:39 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:32:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:32:41 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:32:50 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:42:11 - Unknown word (COPAYER)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:64:10 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:110:57 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:111:10 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:111:58 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:123:12 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:124:15 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:159:25 - Unknown word (COPAYER)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:355:21 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:364:15 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/pages/add/create-wallet/create-wallet.ts:416:18 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:13:10 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:13:41 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:13:50 - Unknown word (copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:401:21 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:402:17 - Unknown word (Copayers)
/mnt/disk273/doc/coding/linters-article/src/pages/add/join-wallet/join-wallet.ts:410:15 - Unknown word (copayer)
/mnt/disk273/doc/coding/linters-article/src/pages/add/select-currency/select-currency.ts:249:18 - Unknown word (Createit)
/mnt/disk273/doc/coding/linters-article/src/pages/add/select-currency/select-currency.ts:256:49 - Unknown word (Createit)
/mnt/disk273/doc/coding/linters-article/src/pages/buy-crypto/country-selector/country-selector.ts:5:52 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/buy-crypto/country-selector/country-selector.ts:5:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/buy-crypto/crypto-order-summary/crypto-order-summary.ts:9:52 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/buy-crypto/crypto-order-summary/crypto-order-summary.ts:9:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:36:10 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:41:14 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:79:14 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:93:12 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:111:8 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:113:14 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:121:10 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:148:44 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:156:16 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:196:18 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/cards/cards.ts:215:22 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:36:13 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:54:11 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:105:10 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:105:44 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:174:52 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:182:24 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:185:67 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:187:78 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-checkout/exchange-checkout.ts:192:44 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-crypto-settings/exchange-crypto-settings.ts:47:15 - Unknown word (shpeshift)
/mnt/disk273/doc/coding/linters-article/src/pages/exchange-crypto/exchange-crypto-settings/exchange-crypto-settings.ts:47:38 - Unknown word (shpeshift)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:45:54 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:45:66 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:45:84 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:46:52 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:46:64 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:402:35 - Unknown word (Bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:513:15 - Unknown word (giftcards)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:607:27 - Unknown word (waitlist)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:651:26 - Unknown word (flatrate)
/mnt/disk273/doc/coding/linters-article/src/pages/home/home.ts:841:57 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:18:41 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:18:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:19:39 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:22:14 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:23:17 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:59:16 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-home/bitpay-card-home.ts:104:58 - Unknown word (Bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:10:62 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:10:77 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:11:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:11:71 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-intro/bitpay-card-intro.ts:17:36 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:9:68 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:9:83 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:10:65 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:10:77 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:60:19 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:77:14 - Unknown word (Waitlist)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-phases/phase-one/phase-one-intro-page/phase-one-intro-page.ts:141:16 - Unknown word (Waitlist)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:9:36 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:14:59 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:14:71 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:15:55 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:15:62 - Unknown word (bitpay)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:68:11 - Unknown word (bitcore)
/mnt/disk273/doc/coding/linters-article/src/pages/integrations/bitpay-card/bitpay-card-topup/bitpay-card-topup.ts:114:10 - Unknown word (bitcore)
